Concat,Provider,Service,Ithrive,Description,Referral Process,Weblinks,Available for,Support Category,Age range,School Service,Referrer,Source,Reviewed?
A Better Medway: Education and SEND courses,A Better Medway,Education and SEND courses,Advice & Signposting,"To understand how to adapt (differentiate) work to enable all pupils to access teaching and learning. The course will give participants an understanding of why we adapt questioning, tasks and work for learners and how to do it effectively.",Self Refer: Education & SEND Courses,https://healthtraining.medway.gov.uk/search?available=true&types=%5b%22e7c8a110-61f7-11ee-a29b-b92c645347d4%22%5d,Educational Professionals ,Special Educational Needs and Disability/ Autism/ADHD,All ages,Y,Self Referral,Internal Service,y-Diane
Adult Mental Health services: Abigail's Footsteps,Adult Mental Health services,Abigail's Footsteps,"Getting Help
(goals based)","Supporting parents as they experience the devastating loss of their baby, be it before, during, or shortly after birth presents a particular challenge to staff. We offer up to 6 funded sessions designed to help you provide a high standard of individualised, compassionate care by supporting you to navigate your own feelings and reactions to the loss.",register on website ,https://www.abigailsfootsteps.co.uk,Parents,Bereavement,Secondary School Age and post 16,N,Self Referral,Commissioned Sara Moreland,y-Diane
Adult Mental Health services: Dadspace meetings ,Adult Mental Health services,Dadspace meetings ,Advice & Signposting,"Men are statistically more likely to discuss mental health issues with their barber than with their GP. This places barbers in a unique position to be able
 to help men battle anxiety and depression. The Barbershop Project will train a group of barbers as East Kent Mind Ambassadors so they can spot signs of depression, be non-judgemental listeners and effective at signposting",Contact section on website,https://www.dadspace.co.uk/,Fathers,Wellbeing; Family Support,Post 16,N,Self Referral,Commissioned Sara Moreland,y-Diane
Amparo: Specialist Suicide Bereavement Service,Amparo,Specialist Suicide Bereavement Service,Advice & Signposting,"Specialist Suicide Bereavement service for Kent and Medway. This is NOT specifically a counselling service, but will signpost to counselling as required and have their own  in house counselling. The service provides bespoke practical, emotional and social support in the aftermath of a suicide, with issues such as funeral arrangements, financial impacts, attending coroners inquests, dealing with media and anything else that may impact a family or individual by a sudden traumatic loss to suicide.

The service is open to anyone affected by a suicide either recent or historic and is open to colleagues, neighbours, schools, friends and family members, with the aim of reducing the distress and further ripple effect that a death by suicide can cause.",phone 0330 088 9255 or through their website. ,https://amparo.org.uk/our-locations/kent-medway/,All,Bereavement,All ages,N,Self Referral,Commissioned,y-Diane
Anna Freud: Crisis Messenger,Anna Freud,Crisis Messenger,advice & signposting,"a Crisis Messenger Service which is free, confidential, 247 text message support service for anyone who is feeling overwhelmed or is struggling to cope",Text: AFC to 85258,https://www.annafreud.org/afc-crisis-messenger/,All,Anxiety/Depression/Low mood,All ages,N,Self Referral,DFE/Recommended by DfE,y-Diane
Anna Freud: Mental Health Lead Resource Hub,Anna Freud,Mental Health Lead Resource Hub,Advice & Signposting,An online toolkit containing wellbeing resources and practical strategies to promote positive mental health.,see weblink,https://mentallyhealthyschools.org.uk/,Education staff ,Wellbeing,All ages,Y,No referral required,recommended by dfe,y-Diane
Anna Freud: on my mind,Anna Freud,on my mind,Advice & Signposting,online resource to empower young people to make informed choices around Mental Health  Wellbeing.,,https://www.annafreud.org/on-my-mind/,All,Wellbeing,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
Anxiety Canada: Mind Shift App,Anxiety Canada,Mind Shift App,Advice & Signposting,"A user-friendly self-help tool based on proven scientific strategies, MindShift CBT teaches about anxiety, helping users to engage in healthy thinking and to take action. Users check in each day to track their anxiety and work with tools in the app.",No referral needed,https://www.anxietycanada.com/articles/new-mindshift-cbt-app-gives-canadians-free-anxiety-relief,ages 18+,Anxiety/Depression/Low mood,Post 16,N,No referral required,Recommended by CAMHS,y-Diane
Behavioural outreach services: Fortis Outreach,Behavioural outreach services,Fortis Outreach,"Getting Help
(goals based)","The aim of the Outreach Service is to provide high-quality support and advice to enable students with SEND to succeed in the mainstream setting within Nurseries, Primary and Secondary schools.

Our work is varied and tailored according to the needs of individual schools and academies. In order to provide the best possible specialist support, the Outreach Service is provided by outstanding practitioners who have a track record of delivering change within schools to deliver improvement in SEND provision. The service is commissioned by Medway and the training and support delivered is free to Medway Schools and Academies.",See weblink for referral form,https://www.fortistrust.co.uk/outreach,Schools,Behaviour; Special Educational Needs and Disability/ Autism/ADHD,All ages,Y,Professional referral,commissioned,y-Diane
Behavioural outreach services: Marlborough outreach,Behavioural outreach services,Marlborough outreach,"Getting Help
(goals based)","Marlborough Outreach Team is a team of specialist teachers who are able to support children with ASD, Communication and Interaction Needs within the mainstream school setting. Based at the Marlborough Centre, a provision for children with a diagnosis of ASD, we are able to support children in mainstream schools and nurseries with a diagnosis of ASD andor communication and interaction needs. We provide support to children to enable them to access the curriculum and reach their full potential through providing training to school staff and working directly with children to address the difficulties that they may have which act as a barrier to their learning. We provide training in a variety of areas such as Autism Awareness and Challenging Behaviour related to Autism, but are equally able to provide a training package bespoke to meet your needs. Feel free to contact us for more information.
Eligibilityreferral criteria:
- ASD diagnosis
- Communication and Interaction Needs
- Referral through the pupils school SENCO",using the form on the website; https://hoo-st-werburgh.medway.sch.uk/marlborough-centre/outreach/meet-the-team,https://hoo-st-werburgh.medway.sch.uk/marlborough-centre,Pupils aged 3-16,Behaviour,All ages,Y,Professional referral,offered by Medway school,y-Diane
